COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:32 5/30/2020
COMMENT	Folder: C:\$Recycle.Bin\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\$Recycle.Bin\	-HS----	3	0	0	0
FILE	---A----	4/14/2020 11:05	4/14/2020 11:05	4/14/2020 11:17	34	$RFLRM43.txt
FILE	---A---X	4/14/2020 11:05	4/14/2020 11:05	5/30/2020 11:10	154	$IFJLCGG.exe
FILE	---A---X	4/14/2020 11:05	4/14/2020 11:05	5/30/2020 11:10	152	$IL339OP.dll
FILE	---A----	4/14/2020 11:32	4/14/2020 11:32	5/30/2020 11:10	126	$IFLRM43.txt
FILE	---A----	4/14/2020 11:32	4/14/2020 11:32	5/30/2020 11:10	106	$IHOYZWQ.log
FILE	---A----	4/14/2020 16:17	4/14/2020 16:17	5/30/2020 11:02	112	$IDTNJIF.0-rc2
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	52	$I2CI7RW
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	52	$ID8Q257
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	46	$IEGBQQZ
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	54	$IJTBTCK
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	52	$IN7KUW9
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	56	$IPY0UNM
FILE	---A----	4/14/2020 21:09	4/14/2020 21:09	5/30/2020 11:02	54	$IXAVFDT
FILE	---A---X	4/14/2020 22:25	4/14/2020 22:25	5/30/2020 11:28	262,144	$R0EGZLW.exe
FILE	---A---X	4/14/2020 22:25	4/14/2020 22:25	5/30/2020 11:10	150	$I0EGZLW.exe
FILE	---A---X	4/14/2020 22:25	4/14/2020 22:25	5/30/2020 11:10	150	$IZRVYKM.msi
FILE	---A---X	4/14/2020 22:25	4/14/2020 22:25	4/14/2020 22:25	524,288	$RZRVYKM.msi
FILE	---A---X	4/14/2020 22:30	4/14/2020 22:30	5/30/2020 11:10	150	$IEQ4M2Z.msi
FILE	---A---X	4/14/2020 22:30	4/14/2020 22:30	5/30/2020 11:10	150	$ILIQPYD.msi
FILE	---A---X	4/14/2020 22:30	4/14/2020 22:30	4/14/2020 22:30	524,288	$REQ4M2Z.msi
FILE	---A---X	4/14/2020 22:30	4/14/2020 22:30	4/14/2020 22:30	524,288	$RLIQPYD.msi
FILE	---A---X	4/14/2020 23:21	4/14/2020 23:21	4/17/2020 08:19	262,144	$REQ0CJ1.exe
FILE	---A---X	4/14/2020 23:21	4/14/2020 23:21	5/30/2020 11:10	150	$I6K45ME.doc
FILE	---A---X	4/14/2020 23:21	4/14/2020 23:21	5/30/2020 11:10	150	$IEQ0CJ1.exe
FILE	---A---X	4/14/2020 23:21	4/14/2020 23:21	4/14/2020 23:21	786,432	$R6K45ME.doc
FILE	---A---X	4/14/2020 23:31	4/14/2020 23:31	4/17/2020 08:19	262,144	$RC2VCE8.exe
FILE	---A---X	4/14/2020 23:31	4/14/2020 23:31	5/30/2020 11:10	150	$I782F82.dll
FILE	---A---X	4/14/2020 23:31	4/14/2020 23:31	5/30/2020 11:10	150	$IC2VCE8.exe
FILE	---A---X	4/14/2020 23:31	4/14/2020 23:31	4/14/2020 23:31	524,288	$R782F82.dll
FILE	---A---X	4/14/2020 23:41	4/14/2020 23:41	4/17/2020 08:19	262,144	$RYJRN3V.exe
FILE	---A---X	4/14/2020 23:41	4/14/2020 23:41	5/30/2020 11:10	150	$IJ7VP6L.doc
FILE	---A---X	4/14/2020 23:41	4/14/2020 23:41	5/30/2020 11:10	150	$IYJRN3V.exe
FILE	---A---X	4/14/2020 23:41	4/14/2020 23:41	4/14/2020 23:41	1,048,576	$RJ7VP6L.doc
FILE	---A---X	4/14/2020 23:51	4/14/2020 23:51	4/14/2020 23:51	786,432	$RLBN7Q1.doc
FILE	---A---X	4/14/2020 23:51	4/14/2020 23:51	5/30/2020 11:10	150	$IG6MH89.msi
FILE	---A---X	4/14/2020 23:51	4/14/2020 23:51	5/30/2020 11:10	150	$ILBN7Q1.doc
FILE	---A---X	4/14/2020 23:51	4/14/2020 23:51	4/14/2020 23:51	524,288	$RG6MH89.msi
FILE	---A---X	4/15/2020 00:01	4/15/2020 00:01	4/15/2020 00:01	524,288	$RWCO11A.msi
FILE	---A----	4/15/2020 00:01	4/15/2020 00:01	5/30/2020 11:10	150	$IUMNG7T.pdf
FILE	---A---X	4/15/2020 00:01	4/15/2020 00:01	5/30/2020 11:10	150	$IWCO11A.msi
FILE	---A----	4/15/2020 00:01	4/15/2020 00:01	4/15/2020 00:01	1,048,576	$RUMNG7T.pdf
FILE	---A---X	4/15/2020 00:11	4/15/2020 00:11	4/15/2020 00:11	786,432	$RZT9ZQF.doc
FILE	---A---X	4/15/2020 00:11	4/15/2020 00:11	5/30/2020 11:10	150	$I6RGK2I.msi
FILE	---A---X	4/15/2020 00:11	4/15/2020 00:11	5/30/2020 11:10	150	$IZT9ZQF.doc
FILE	---A---X	4/15/2020 00:11	4/15/2020 00:11	4/15/2020 00:11	524,288	$R6RGK2I.msi
FILE	---A---X	4/15/2020 00:21	4/15/2020 00:21	5/30/2020 11:10	150	$II5O478.msi
FILE	---A---X	4/15/2020 00:21	4/15/2020 00:21	5/30/2020 11:10	150	$ISIMZHX.exe
FILE	---A---X	4/15/2020 00:21	4/15/2020 00:21	4/15/2020 00:21	524,288	$RI5O478.msi
FILE	---A---X	4/15/2020 00:21	4/15/2020 00:21	4/17/2020 08:19	262,144	$RSIMZHX.exe
FILE	---A---X	4/15/2020 00:31	4/15/2020 00:31	4/15/2020 00:31	786,432	$R6E6MX3.msi
FILE	---A---X	4/15/2020 00:31	4/15/2020 00:31	5/30/2020 11:10	150	$I6E6MX3.msi
FILE	---A---X	4/15/2020 00:31	4/15/2020 00:31	5/30/2020 11:10	150	$IFWFCK0.exe
FILE	---A---X	4/15/2020 00:31	4/15/2020 00:31	4/17/2020 08:19	262,144	$RFWFCK0.exe
FILE	---A---X	4/15/2020 00:41	4/15/2020 00:41	4/15/2020 00:41	524,288	$RQQ7CCM.msi
FILE	---A----	4/15/2020 00:41	4/15/2020 00:41	5/30/2020 11:10	150	$IGRZYJA.pdf
FILE	---A---X	4/15/2020 00:41	4/15/2020 00:41	5/30/2020 11:10	150	$IQQ7CCM.msi
FILE	---A----	4/15/2020 00:41	4/15/2020 00:41	4/15/2020 00:41	1,048,576	$RGRZYJA.pdf
FILE	---A----	4/15/2020 00:51	4/15/2020 00:51	4/15/2020 00:51	1,048,576	$RUUAQZ0.pdf
FILE	---A---X	4/15/2020 00:51	4/15/2020 00:51	5/30/2020 11:10	150	$IUG8HOD.msi
FILE	---A----	4/15/2020 00:51	4/15/2020 00:51	5/30/2020 11:10	150	$IUUAQZ0.pdf
FILE	---A---X	4/15/2020 00:51	4/15/2020 00:51	4/15/2020 00:51	786,432	$RUG8HOD.msi
FILE	---A---X	4/15/2020 01:01	4/15/2020 01:01	5/30/2020 11:10	150	$ICNEZA1.msi
FILE	---A---X	4/15/2020 01:01	4/15/2020 01:01	5/30/2020 11:10	150	$IX2O7ZD.doc
FILE	---A---X	4/15/2020 01:01	4/15/2020 01:01	4/15/2020 01:01	524,288	$RCNEZA1.msi
FILE	---A---X	4/15/2020 01:01	4/15/2020 01:01	4/15/2020 01:01	786,432	$RX2O7ZD.doc
FILE	---A---X	4/15/2020 01:10	4/15/2020 01:10	5/30/2020 11:10	150	$I6PBUPW.exe
FILE	---A---X	4/15/2020 01:10	4/15/2020 01:10	5/30/2020 11:10	150	$IIXGPE8.exe
FILE	---A---X	4/15/2020 01:10	4/15/2020 01:10	4/17/2020 08:19	262,144	$R6PBUPW.exe
FILE	---A---X	4/15/2020 01:10	4/15/2020 01:10	4/17/2020 08:19	262,144	$RIXGPE8.exe
FILE	---A----	4/15/2020 01:20	4/15/2020 01:20	5/30/2020 11:10	150	$I15TFDF.pdf
FILE	---A---X	4/15/2020 01:20	4/15/2020 01:20	5/30/2020 11:10	150	$I68DM00.msi
FILE	---A----	4/15/2020 01:20	4/15/2020 01:20	4/15/2020 01:20	1,048,576	$R15TFDF.pdf
FILE	---A---X	4/15/2020 01:20	4/15/2020 01:20	4/15/2020 01:20	524,288	$R68DM00.msi
FILE	---A---X	4/15/2020 01:31	4/15/2020 01:31	5/30/2020 11:10	150	$ICYO3KH.msi
FILE	---A---X	4/15/2020 01:31	4/15/2020 01:31	4/15/2020 01:31	524,288	$RCYO3KH.msi
FILE	---A---X	4/15/2020 01:31	4/15/2020 01:31	5/30/2020 11:10	150	$IBPMT0M.exe
