COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:36 5/30/2020
COMMENT	Folder: C:\Users\Student\AppData\Local\Temp\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\Users\Student\AppData\Local\Temp\	-------	22	200	98,204,840	98,204,840
FILE	---A----	5/30/2020 11:01	5/30/2020 11:01	5/30/2020 11:01	0	mat-debug-15456.log
FILE	---A---X	5/30/2020 11:01	5/30/2020 11:01	5/30/2020 11:01	524,288	101iwn4z.3ot-AAF-Bot.dll
FILE	---A----	5/30/2020 11:01	5/30/2020 11:01	5/30/2020 11:01	1,310,720	kmxtwdx1.dyp-AAF-Bot.pdf
FILE	---A----	5/30/2020 11:14	5/30/2020 11:14	5/30/2020 11:14	0	mat-debug-15884.log
FILE	---A----	5/30/2020 11:23	5/30/2020 11:23	5/30/2020 11:23	49,152	~DFF83CF14E692506CC.TMP
FILE	---A----	5/30/2020 11:29	5/30/2020 11:29	5/30/2020 11:29	0	mat-debug-11064.log
FILE	---A----	5/30/2020 11:30	5/30/2020 11:30	5/30/2020 11:30	49,152	~DFC723DA3E548BC798.TMP
FOLDER	C:\Users\Student\AppData\Local\Temp\8B35E94C-ABB9-49E5-B826-3651F5202ED4\	-------	1	0	0	0
FOLDER	C:\Users\Student\AppData\Local\Temp\8B35E94C-ABB9-49E5-B826-3651F5202ED4\en-US\	-------	0	0	0	0
TOTAL	C:\Users\Student\AppData\Local\Temp\8B35E94C-ABB9-49E5-B826-3651F5202ED4\en-US\	-------	0	0	0	0
TOTAL	C:\Users\Student\AppData\Local\Temp\8B35E94C-ABB9-49E5-B826-3651F5202ED4\	-------	1	0	0	0
FOLDER	C:\Users\Student\AppData\Local\Temp\CR_10D69.tmp\	-------	0	0	0	0
TOTAL	C:\Users\Student\AppData\Local\Temp\CR_10D69.tmp\	-------	0	0	0	0
FOLDER	C:\Users\Student\AppData\Local\Temp\TelemetryClient\	-------	0	0	0	0
TOTAL	C:\Users\Student\AppData\Local\Temp\TelemetryClient\	-------	0	0	0	0
FOLDER	C:\Users\Student\AppData\Local\Temp\NuGetScratch\	-------	1	0	0	0
FOLDER	C:\Users\Student\AppData\Local\Temp\NuGetScratch\lock\	-------	0	0	0	0
TOTAL	C:\Users\Student\AppData\Local\Temp\NuGetScratch\lock\	-------	0	0	0	0
TOTAL	C:\Users\Student\AppData\Local\Temp\NuGetScratch\	-------	1	0	0	0
FOLDER	C:\Users\Student\AppData\Local\Temp\Adobe_ADMLogs\	-------	0	0	0	0
